point,median,min,max
LM687,421.0,6.0,1142.0
LM690,440.0,7.0,1300.0
LM691,413.5,0.5,1158.0
LM694,580.0,0.25,1519.0
LM695,600.0,0.25,1521.0
LM696,528.5,5.0,1429.0
LM714,318.0,0.25,1278.0
LM717,314.0,2.25,1269.0
LM718,286.0,0.25,1145.0
LM722,602.0,0.25,1575.0
LM723,620.0,0.75,1593.0
LM724,500.0,0.25,1484.0
LM725,515.0,0.25,1350.0
LM732,463.0,7.0,1342.0
LM733,493.0,0.25,1338.0
LM734,451.5,0.5,1400.0
LM735,445.25,1.0,1385.0
LM738,566.0,5.0,1418.0
LM739,429.0,0.25,1272.0
LM741,429.0,0.25,1272.0
LM745,397.0,4.25,1143.0
LM746,633.0,1.0,1460.0
LM747,654.5,0.75,1450.0
LM75,322.5,2.0,773.0
LM751,317.0,6.0,844.0
LM77,357.0,2.0,926.0
LM778,444.0,11.0,1452.0
LM779,462.0,12.0,1601.0
LM78,350.5,9.5,957.5
LM780,358.0,8.0,1197.0
LM79,447.0,10.5,1238.0
LM798,665.0,16.0,1860.0
LM799,662.0,10.0,1788.0
LM812,476.0,2.0,1329.0
LM821,409.0,6.0,1247.0
LM846,519.0,0.25,1164.0
LM847,624.0,0.75,1562.0
LM848,567.0,1.0,1442.0
LM849,532.0,0.25,1319.0
LM850,547.0,0.25,1309.0
LM851,552.0,1.0,1386.0
LM852,503.0,1.0,1236.0
LM853,514.0,1.0,1310.0
LM856,639.5,0.25,1746.0
LM857,566.0,0.25,1609.0
LM862A,480.25,1.0,1552.5
LM862B,435.0,11.5,1293.5
LM862D,279.0,5.5,1102.0
LM863,470.0,8.0,1470.0
LM863A,484.0,4.5,1512.0
LM863B,354.0,0.25,1287.0
LM863D,414.0,6.0,1397.0
LM864,279.0,5.5,1102.0
LM865,280.0,1.5,912.0
LM876,465.0,0.5,1407.0
LM882,148.0,1.0,590.0
LM883,165.0,1.0,754.0
LM884,198.0,1.0,887.0
LM885,192.0,1.0,786.0
LM926,692.0,0.25,1652.0
LM927,754.0,0.25,1586.0
LM934,612.0,0.25,1432.0
LM935,627.0,0.75,1344.0
LM936,597.0,0.25,1410.0
LM937,587.0,0.25,1247.0
LM938,679.0,0.25,1450.0
LM939,708.0,0.25,1391.0
LM942,717.0,0.25,1471.0
LM943,717.0,0.25,1384.0
LM956,545.0,0.25,1672.0
LM958,535.0,8.0,1478.0
LM960,630.5,11.0,1690.0
LM965,523.0,6.0,1431.0
LM967,500.0,0.25,1343.0
LM981,346.5,0.5,1286.0
LM998C,643.0,0.25,1470.0
LM998D,519.0,0.25,1234.0
LM999C,648.0,1.0,1523.0
LM999D,509.0,0.25,1255.0
